Level,Date and Time,Source,Event ID,Task Category
Information,11/12/2019 11:25:06 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Warning,11/12/2019 11:25:06 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,11/12/2019 11:25:06 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,11/12/2019 11:25:06 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,11/12/2019 11:25:06 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,11/12/2019 11:25:06 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,11/12/2019 11:25:06 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,11/12/2019 11:25:05 AM,EventLog,6013,None,The system uptime is 1015044 seconds.
Information,11/12/2019 11:25:03 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2019‎-‎11‎-‎12T10:25:03.500000000Z from ‎2019‎-‎11‎-‎04T14:01:05.898701700Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,11/4/2019 3:01:05 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,11/4/2019 3:01:04 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,11/4/2019 3:01:01 PM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,11/4/2019 3:01:00 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,11/4/2019 2:50:56 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎1991‎-‎12‎-‎20T16:42:18.000000000Z) has successfully loaded and registered with Filter Manager."
Information,11/4/2019 2:50:56 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\S-1-5-21-2876271845-3438545391-1900302038-1001\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.
Information,11/4/2019 2:50:56 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\S-1-5-21-2876271845-3438545391-1900302038-1001\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages.
Information,11/4/2019 2:50:55 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,11/4/2019 2:49:46 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,11/4/2019 2:47:47 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 2:46:42 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 2:46:40 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.387_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,11/4/2019 2:46:38 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,11/4/2019 2:46:34 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.LockApp_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/4/2019 2:46:31 PM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2019‎-‎11‎-‎04T11:19:21.895448600Z
Wake Time: ‎2019‎-‎11‎-‎04T13:46:30.439266000Z

Wake Source: Device -Microsoft AC Adapter"
Warning,11/4/2019 2:46:26 PM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,11/4/2019 2:46:26 PM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,11/4/2019 2:46:23 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2019‎-‎11‎-‎04T13:46:23.500000000Z from ‎2019‎-‎11‎-‎04T11:19:23.658393800Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Error,11/4/2019 12:19:23 PM,Microsoft-Windows-Kernel-Power,137,None,The system firmware has changed the processor's memory type range registers (MTRRs) across a sleep state transition (S4). This can result in reduced resume performance.
Information,11/4/2019 12:19:23 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,11/4/2019 12:19:23 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Button or Lid"
Warning,11/4/2019 12:14:21 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,11/4/2019 12:00:00 PM,EventLog,6013,None,The system uptime is 325941 seconds.
Warning,11/4/2019 11:47:48 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 11:21:39 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.387_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,11/4/2019 11:19:12 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.ZuneMusic_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 10 keys and creating 2 modified pages.
Warning,11/4/2019 11:14:20 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,11/4/2019 11:05:16 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,11/4/2019 11:03:11 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,11/4/2019 11:03:00 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 11:01:56 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.387_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,11/4/2019 10:57:52 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,11/4/2019 10:54:30 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,11/4/2019 10:53:16 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.OneConnect_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,11/4/2019 10:53:12 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 11 keys and creating 2 modified pages.
Information,11/4/2019 10:53:11 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,11/4/2019 10:53:09 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Settings\settings.dat was cleared updating 1554 keys and creating 111 modified pages.
Information,11/4/2019 10:53:08 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 33 keys and creating 9 modified pages.
Information,11/4/2019 10:52:55 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,11/4/2019 10:51:34 AM,BTHUSB,8,None,The remote adapter (f4:bc:da:63:21:be) successfully paired with the local adapter.
Warning,11/4/2019 10:51:07 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,11/4/2019 10:51:07 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning,11/4/2019 10:50:38 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,11/4/2019 10:50:38 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning,11/4/2019 10:49:32 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.387_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,11/4/2019 10:49:30 AM,Microsoft-Windows-UserPnp,20001,(7005),Driver Management concluded the process to install driver microsoft_bluetooth_hfp.inf_amd64_d652a11ee05a2f4a for Device Instance ID BTHHFENUM\BTHHFPAUDIO\9&15A90AC2&0&97 with the following status: 0x0.
Information,11/4/2019 10:49:30 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Microsoft Bluetooth Hands-Free Audio driver
Service File Name:  \SystemRoot\System32\drivers\BthHfAud.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information,11/4/2019 10:49:30 AM,Microsoft-Windows-UserPnp,20001,(7005),Driver Management concluded the process to install driver bthpan.inf_amd64_b370978e36621e74 for Device Instance ID BTH\MS_BTHPAN\7&396FF34&0&2 with the following status: 0x0.
Information,11/4/2019 10:49:29 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Bluetooth Device (Personal Area Network)
Service File Name:  \SystemRoot\System32\drivers\bthpan.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Warning,11/4/2019 10:49:29 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 10:49:29 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 10:49:29 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 10:49:29 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 10:49:28 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,11/4/2019 10:49:28 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning,11/4/2019 10:49:12 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.387_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 10:48:59 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.387_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 10:48:56 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.387_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,11/4/2019 10:48:38 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,11/4/2019 10:48:34 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Warning,11/4/2019 10:48:29 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-ST7G6K7\Deivid SID (S-1-5-21-2876271845-3438545391-1900302038-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,11/4/2019 10:48:27 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\dosvcState.dat was cleared updating 44 keys and creating 18 modified pages.
Information,11/4/2019 10:48:26 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\Appcompat\Programs\EncapsulationLogging.hve was cleared updating 5 keys and creating 1 modified pages.
Information,11/4/2019 10:48:14 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\Settings\settings.dat was cleared updating 4 keys and creating 1 modified pages.
Information,11/4/2019 10:48:13 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 23 keys and creating 4 modified pages.
Information,11/4/2019 10:48:08 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Settings\settings.dat was cleared updating 5 keys and creating 1 modified pages.
Information,11/4/2019 10:48:05 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat was cleared updating 53 keys and creating 16 modified pages.
Information,11/4/2019 10:48:04 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Packages\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,11/4/2019 10:47:58 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\config\DRIVERS was cleared updating 25189 keys and creating 1313 modified pages.
Information,11/4/2019 10:47:56 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\AppData\Local\Microsoft\Windows\UsrClass.dat was cleared updating 9309 keys and creating 939 modified pages.
Information,11/4/2019 10:47:56 AM,Microsoft-Windows-Kernel-General,15,None,Hive \??\C:\WINDOWS\System32\config\COMPONENTS was reorganized with a starting size of 54964224 bytes and an ending size of 43253760 bytes.
Information,11/4/2019 10:47:56 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Deivid\ntuser.dat was cleared updating 5173 keys and creating 511 modified pages.
Information,11/4/2019 10:47:56 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,11/4/2019 10:47:47 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,11/4/2019 10:47:46 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2019‎-‎10‎-‎31T16:28:18.496233800Z
Wake Time: ‎2019‎-‎11‎-‎04T09:47:45.045857800Z

Wake Source: Unknown"
Information,11/4/2019 10:47:46 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD was cleared updating 70 keys and creating 6 modified pages.
Information,11/4/2019 10:47:45 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,11/4/2019 10:47:45 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,11/4/2019 10:47:44 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,11/4/2019 10:47:44 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,11/4/2019 10:47:44 AM,EventLog,6013,None,The system uptime is 321603 seconds.
Information,11/4/2019 10:47:42 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2019‎-‎11‎-‎04T09:47:42.500000000Z from ‎2019‎-‎10‎-‎31T16:28:20.738003700Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,10/31/2019 5:28:20 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,10/31/2019 5:28:19 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,10/31/2019 5:28:18 PM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,10/31/2019 5:28:15 PM,User32,1074,None,"The process C:\WINDOWS\system32\winlogon.exe (DESKTOP-ST7G6K7) has initiated the power off of computer DESKTOP-ST7G6K7 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found
 Reason Code: 0x500ff
 Shutdown Type: power off
 Comment: "
Information,10/31/2019 5:27:55 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam
EhStorClass"
Error,10/31/2019 5:27:54 PM,Service Control Manager,7023,None,"The KMS-R@1n service terminated with the following error: 
The parameter is incorrect."
Information,10/31/2019 5:27:53 PM,Microsoft-Windows-WLAN-AutoConfig,10001,None,"WLAN Extensibility Module has successfully started.

Module Path: C:\WINDOWS\System32\bcmihvsrv64.dll
"
Information,10/31/2019 5:27:53 PM,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'aswMonFlt' (10.0, ‎2019‎-‎09‎-‎06T11:05:43.000000000Z) has successfully loaded and registered with Filter Manager."
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2084‎-‎07‎-‎24T06:29:44.000000000Z) has successfully loaded and registered with Filter Manager."
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2067‎-‎09‎-‎22T14:32:34.000000000Z) has successfully loaded and registered with Filter Manager."
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2067‎-‎09‎-‎22T14:32:34.000000000Z) unloaded successfully."
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2067‎-‎09‎-‎22T14:32:34.000000000Z) has successfully loaded and registered with Filter Manager."
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎1974‎-‎08‎-‎09T14:33:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,10/31/2019 5:27:50 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2027‎-‎07‎-‎25T03:04:32.000000000Z) has successfully loaded and registered with Filter Manager."
